1  11.606120 11.054377
2  5.957343 5.838280
4  2.952179 2.858182
6  2.301552 3.324793
8  2.084292 2.176431
10  1.864659 2.213717
12  1.678449 2.201942
14  1.713133 2.376216
16  1.653666 2.371759
