1   85.45348886135395    51.06708275627304  72.7409203864633
2   14.294090745807006   9.053696378538953  13.41945612099798
4   36.02994226732905    32.587995369355404 53.2386810832683
6   38.403695728104125   19.37930734810454  32.730575060340534
8   42.888013757977156   16.684525363580466 27.25460932802555
10  49.173357625798225   18.60566881820914  18.05765653076978
12  18.737140205501536   16.340376194950075 12.952077946554729
14  13.057021663502926   21.286066666551235 25.24396760116083 
16  34.485923605542744   36.38115908287393  12.386890589625782

       
       
      
