1  35.76  287.62 2034.02
2  25.76  205.11 1677.01
4  13.76  110.41 903.05
6  9.55   86.42 726.94
8   9.24  84.51 701.67
10  6.97  75.69 611.88
12  6.29  68.43 557.77
14  6.62  62.65 562.30
16  10.60 59.43 554.58
